country,continent,date,total_cases,total_deaths,total_cases_per_million,total_deaths_per_million,population,population_density,median_age,life_expectancy,gdp_per_capita,diabetes_prevalence,hospital_beds_per_thousand,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,case_fatality_rate,vaccination_status
Kosovo,Europe,2026-07-19,274279.0,3212.0,159654.83,1869.6703,1717950.0,,30.808000564575195,77.62329864501953,16461.294921875,10.399999618530272,,,,1.1710703334925385,No Data
Kuwait,Asia,2026-07-19,667290.0,2570.0,145394.48,559.97217,4589514.0,257.5484924316406,33.4630012512207,78.78810119628906,48253.96484375,25.600000381469727,2.3299999237060547,,,0.38513989419892397,No Data
Kyrgyzstan,Asia,2026-07-19,88953.0,1024.0,12788.335,147.21544,6955792.0,36.26586151123047,24.975000381469727,71.48699951171875,7878.44921875,7.599999904632568,3.7300000190734863,,,1.1511697188402863,No Data
Laos,Asia,2026-07-19,219060.0,671.0,28979.992,88.768265,7559008.0,32.75133514404297,23.972000122070312,68.71520233154297,8872.6943359375,6.699999809265137,1.7100000381469729,,,0.30630877385191274,No Data
Latvia,Europe,2026-07-19,977804.0,7741.0,519815.7,4115.235,1881059.0,30.227527618408203,42.94599914550781,74.87059783935547,38800.54296875,7.099999904632568,4.949999809265137,,,0.7916719506158699,No Data
Lebanon,Asia,2026-07-19,1239904.0,10947.0,215842.23,1905.6515,5744492.0,561.533935546875,28.106000900268555,78.00289916992188,10469.220703125,12.300000190734863,2.7300000190734863,,,0.8828909334916252,No Data
Lesotho,Africa,2026-07-19,36140.0,709.0,15808.499,310.13354,2286112.0,75.30013275146484,21.263999938964844,56.8119010925293,2720.957275390625,6.199999809265137,,,,1.9618151632540122,No Data
Liberia,Africa,2026-07-19,7932.0,294.0,1476.1886,54.71501,5373297.0,55.785892486572266,18.18000030517578,61.934200286865234,1692.9259033203125,9.199999809265137,1.590000033378601,,,3.7065052950075645,No Data
Libya,Africa,2026-07-19,507269.0,6437.0,70221.87,891.0818,7223804.0,4.105506896972656,26.91699981689453,74.46150207519531,14118.2060546875,15.800000190734863,3.5,,,1.2689519761704342,No Data
Liechtenstein,Europe,2026-07-19,21649.0,89.0,550333.0,2262.4434,39338.0,245.8625030517578,44.01399993896485,83.40540313720703,,7.199999809265137,,,,0.4111044390041111,No Data
Lithuania,Europe,2026-07-19,1448911.0,9931.0,514359.47,3525.478,2816923.0,44.991580963134766,42.632999420166016,74.69599914550781,48839.54296875,7.5,5.710000038146973,,,0.6854113192597752,No Data
Low-income countries,,2026-07-19,1905764.0,43239.0,2692.6086,61.09136,707776067.0,48.17781829833984,17.70400047302246,63.480201721191406,2481.01318359375,7.130307674407959,,,,2.268853855986366,No Data
Lower-middle-income countries,,2026-07-19,60612047.0,796035.0,21629.447,284.06558,2832687999.0,150.1196746826172,25.211000442504883,69.25039672851562,9350.30078125,11.536528587341309,1.5225088596343994,,,1.3133280253676303,No Data
Luxembourg,Europe,2026-07-19,401679.0,1000.0,614832.06,1530.6552,653315.0,253.7677764892578,38.67599868774414,82.20069885253906,127420.6015625,5.800000190734863,3.950000047683716,,,0.24895501133990078,No Data
Macao,Asia,2023-12-31,,,,,704360.0,21344.2421875,37.83100128173828,82.10250091552734,117098.2734375,8.100000381469727,,,,,No Data
Madagascar,Africa,2026-07-19,68853.0,1428.0,2262.1287,46.91618,30437261.0,52.315677642822266,18.718000411987305,63.06769943237305,1668.47705078125,4.599999904632568,0.3199999928474426,,,2.073983704413751,No Data
Malawi,Africa,2026-07-19,89168.0,2686.0,4335.124,130.58656,20568731.0,218.1664276123047,17.334999084472656,66.03700256347656,1623.021728515625,5.699999809265137,1.2999999523162842,,,3.0122914049883365,No Data
Malaysia,Asia,2026-07-19,5329836.0,37351.0,153617.53,1076.5375,34695494.0,105.60186767578124,29.572999954223636,75.44419860839844,35461.4453125,21.100000381469727,1.9600000381469729,,,0.7007907935628789,No Data
Maldives,Asia,2026-07-19,186694.0,316.0,356207.4,602.92,524116.0,1747.0533447265625,30.339000701904297,80.7594985961914,24401.31640625,9.5,4.559999942779541,,,0.16926092964958703,No Data
Mali,Africa,2026-07-19,33236.0,743.0,1440.494,32.20264,23072641.0,18.909055709838867,15.348999977111816,60.034698486328125,2993.251708984375,4.800000190734863,0.25,,,2.235527741003731,No Data
Malta,Europe,2026-07-19,125377.0,1119.0,237369.22,2118.5398,528194.0,1650.606201171875,39.74599838256836,82.24960327148438,63655.515625,10.0,4.090000152587891,,,0.8925081952830264,No Data
Marshall Islands,Oceania,2026-07-19,16297.0,17.0,406469.78,424.0036,40094.0,222.74444580078125,20.96500015258789,66.72450256347656,7660.376953125,25.700000762939453,,,,0.10431367736393202,No Data
Martinique,North America,2026-07-19,230354.0,1104.0,659167.5,3159.1418,349462.0,329.6811218261719,48.23899841308594,80.8364028930664,,,,,,0.4792623527266729,No Data
Mauritania,Africa,2026-07-19,63891.0,997.0,13104.115,204.48581,4875644.0,4.730420112609863,16.992000579833984,68.28070068359375,6559.04345703125,5.199999809265137,,,,1.560470175768105,No Data
Mauritius,Africa,2026-07-19,332300.0,1074.0,260395.86,841.60443,1276134.0,639.0255126953125,36.51300048828125,73.54450225830078,28769.513671875,20.100000381469727,3.799999952316284,,,0.32320192597050856,No Data
Mayotte,Africa,2026-07-19,42027.0,187.0,137667.52,612.55444,305279.0,816.2540283203125,16.697999954223633,75.1272964477539,,,,,,0.44495205463154636,No Data
Mexico,North America,2026-07-19,7630870.0,335111.0,59331.973,2605.574,128613116.0,66.16070556640625,28.527999877929688,73.97309875488281,21911.9296875,16.399999618530273,1.0099999904632568,,,4.391517612015406,No Data
Micronesia (country),Oceania,2026-07-19,31765.0,62.0,283307.47,552.9691,112122.0,160.17428588867188,22.607999801635746,66.96060180664062,3934.642578125,19.200000762939453,,,,0.19518337793168583,No Data
Moldova,Europe,2026-07-19,656463.0,12290.0,215942.77,4042.7817,3039986.0,92.2046127319336,37.47800064086914,71.54650115966797,17087.1875,6.300000190734863,5.539999961853027,,,1.8721542569802105,No Data
Monaco,Europe,2026-07-19,17181.0,67.0,441103.97,1720.154,38950.0,18690.01953125,54.97499847412109,85.74639892578125,,6.900000095367432,21.989999771118164,,,0.3899656597404109,No Data
Mongolia,Asia,2026-07-19,1011489.0,2136.0,298725.5,630.83,3386015.0,2.173996686935425,26.617000579833984,71.50489807128906,17772.53515625,10.300000190734863,8.579999923706055,,,0.21117382393679018,No Data
Montenegro,Europe,2026-07-19,251280.0,2654.0,408818.7,4317.9116,614649.0,45.69881057739258,39.08000183105469,75.92140197753906,28895.31640625,10.699999809265137,3.819999933242798,,,1.0561922954473097,No Data
Montserrat,North America,2026-07-19,1403.0,8.0,313449.5,1787.31,4476.0,44.7599983215332,41.3849983215332,76.0376968383789,,,,,,0.5702066999287242,No Data
Morocco,Africa,2026-07-19,1279115.0,16305.0,34265.92,436.791,37329068.0,83.64119720458984,28.875,75.1613998413086,9495.4052734375,11.899999618530272,0.7300000190734863,,,1.274709467092482,No Data
Mozambique,Africa,2026-07-19,233935.0,2252.0,7163.5615,68.960785,32656242.0,41.527305603027344,16.249000549316406,63.01150131225586,1450.9595947265625,3.0,0.7400000095367432,,,0.9626605681065252,No Data
Myanmar,Asia,2026-07-19,643401.0,19494.0,11968.739,362.63324,53756791.0,82.36442565917969,29.250999450683597,66.50579833984375,5137.1005859375,6.699999809265137,1.0700000524520874,,,3.029836758102645,No Data
Namibia,Africa,2026-07-19,172557.0,4110.0,59715.164,1422.3087,2889668.0,3.5099029541015625,20.825000762939453,64.19029998779297,10242.2841796875,5.300000190734863,,,,2.3818216589300927,No Data
Nauru,Oceania,2026-07-19,5393.0,1.0,456183.38,84.58806,11822.0,591.0999755859375,20.572999954223636,61.93040084838867,12134.8916015625,21.799999237060547,,,,0.018542555164101613,No Data
Nepal,Asia,2026-07-19,1003968.0,12034.0,33786.08,404.97473,29715435.0,207.2928771972656,24.356000900268555,70.08689880371094,5276.923828125,7.699999809265137,0.5400000214576721,,,1.1986437814751068,No Data
Netherlands,Europe,2026-07-19,8657553.0,22986.0,483542.75,1283.817,17904421.0,531.7618408203125,41.4630012512207,81.91210174560547,71378.484375,5.0,2.4200000762939453,,,0.26550227298637386,No Data
New Caledonia,Oceania,2026-07-19,80203.0,314.0,279326.44,1093.5813,287130.0,15.707330703735352,33.5890007019043,77.69830322265625,,22.0,,,,0.3915065521239854,No Data
New Zealand,Oceania,2026-07-19,2668236.0,4538.0,519948.53,884.302,5131731.0,19.48931312561035,37.06800079345703,81.006103515625,48232.6640625,6.699999809265137,2.509999990463257,,,0.17007491091492657,No Data
Nicaragua,North America,2026-07-19,16877.0,245.0,2507.48,36.40058,6730662.0,55.93038177490234,24.91200065612793,74.46260070800781,7933.48876953125,10.399999618530272,0.9700000286102296,,,1.4516798009124845,No Data
Niger,Africa,2026-07-19,9591.0,315.0,378.91153,12.444701,25311978.0,19.982614517211918,15.10200023651123,60.39810180664063,1860.548583984375,4.099999904632568,0.2800000011920929,,,3.2843290584923364,No Data
Nigeria,Africa,2026-07-19,267237.0,3155.0,1197.5618,14.138414,223150906.0,245.01345825195312,17.566999435424805,54.07899856567383,8145.14794921875,3.0,,,,1.1805999917676069,No Data
Niue,Oceania,2026-07-19,1092.0,0.0,592190.9,0.0,1844.0,7.092307567596436,36.72100067138672,69.81819915771484,,,,,,0.0,No Data
North America,,2026-07-19,124521655.0,1717393.0,206040.16,2841.6897,604356255.0,28.74942779541016,,78.30870056152344,,,,,,1.379192237687493,No Data
North Korea,Asia,2026-07-19,0.0,0.0,0.0,0.0,26328843.0,218.65994262695312,35.80500030517578,73.64109802246094,,9.899999618530272,12.800000190734863,,,,No Data
North Macedonia,Europe,2026-07-19,352093.0,9991.0,191330.34,5429.195,1840236.0,72.96733093261719,39.90999984741211,76.64550018310547,25094.623046875,7.400000095367432,4.739999771118164,,,2.8376025652313452,No Data
Northern Ireland,,2023-12-31,,,,,,,,,,,,,,,No Data
Northern Mariana Islands,Oceania,2026-07-19,14985.0,41.0,325047.2,889.3516,46101.0,100.21956634521484,35.17900085449219,78.53119659423828,,,,,,0.27360694027360694,No Data
Norway,Europe,2026-07-19,1552355.0,5732.0,284481.03,1050.4332,5456796.0,14.98008632659912,39.43600082397461,82.63089752197266,95173.4296875,4.800000190734863,3.299999952316284,,,0.3692454367718724,No Data
Oceania,,2026-07-19,15032781.0,33170.0,333693.06,736.2975,45049680.0,5.302440166473389,32.64899826049805,78.06310272216797,,,,,,0.22065112237050483,No Data
Oman,Asia,2026-07-19,399449.0,4628.0,84446.016,978.3881,4730229.0,15.283453941345217,28.972999572753903,77.91059875488281,36142.9453125,17.0,0.9900000095367432,,,1.1585959659430867,No Data
Pakistan,Asia,2026-07-19,1580631.0,30656.0,6485.9526,125.79366,243700667.0,316.1330871582031,20.14800071716309,67.41670227050781,5617.2509765625,31.399999618530277,0.6299999952316284,,,1.9394786006348097,No Data
Palau,Oceania,2026-07-19,6372.0,10.0,358299.6,562.3032,17784.0,38.66086959838867,37.48400115966797,68.92220306396484,19698.59375,19.299999237060547,,,,0.15693659761456372,No Data
Palestine,Asia,2026-07-19,703228.0,5708.0,132552.62,1075.9105,5305274.0,880.5433959960938,19.604999542236328,76.66239929199219,4272.45751953125,15.5,1.2999999523162842,,,0.8116855415313383,No Data
Panama,North America,2026-07-19,1045742.0,8839.0,237626.78,2008.5099,4400775.0,59.325626373291016,29.27300071716309,79.3240966796875,37516.1796875,11.100000381469728,1.950000047683716,,,0.8452371617473525,No Data
Papua New Guinea,Oceania,2026-07-19,46864.0,670.0,4593.079,65.665825,10203177.0,22.530532836914062,22.12700080871582,65.27359771728516,4456.23095703125,14.100000381469728,0.6200000047683716,,,1.4296688289518606,No Data
Paraguay,South America,2026-07-19,735759.0,19880.0,108832.68,2940.6284,6760460.0,17.016008377075195,26.045000076293945,72.31849670410156,17245.845703125,9.399999618530272,1.0399999618530271,,,2.701971705408972,No Data
Peru,South America,2026-07-19,4533838.0,221072.0,135437.77,6604.0063,33475436.0,26.152685165405277,29.09600067138672,76.83399963378906,16079.125,6.400000095367432,1.559999942779541,,,4.876045416708758,No Data
Philippines,Asia,2026-07-19,4140383.0,66864.0,36330.51,586.70984,113964343.0,382.212646484375,24.86599922180176,69.47229766845703,10747.5458984375,7.5,0.9700000286102296,,,1.6149230638808052,No Data
Pitcairn,Oceania,2026-07-19,4.0,0.0,88888.89,0.0,,,,,,,,,,0.0,No Data
Poland,Europe,2026-07-19,6843822.0,121221.0,178290.77,3157.9702,38385734.0,125.40259552001952,40.86399841308594,77.92289733886719,46924.58984375,8.100000381469727,6.039999961853027,,,1.77124711893442,No Data
Portugal,Europe,2026-07-19,5671684.0,29663.0,544460.4,2847.5366,10417074.0,113.71656036376952,45.805999755859375,81.193603515625,42576.8125,10.5,3.4800000190734863,,,0.5230016340825758,No Data
Puerto Rico,North America,2026-07-19,1252713.0,5938.0,386523.84,1832.1664,3240972.0,365.38580322265625,45.196998596191406,79.4269027709961,44603.21875,10.899999618530272,,,,0.47401120607832764,No Data
Qatar,Asia,2026-07-19,514524.0,690.0,177884.2,238.55077,2892466.0,251.73768615722656,32.45800018310547,81.85659790039062,110135.6953125,24.600000381469727,1.25,,,0.1341045315670406,No Data
Reunion,Africa,2026-07-19,494595.0,921.0,567493.5,1056.7465,871543.0,347.2283020019531,37.06499862670898,81.5,,,,,,0.18621296212052285,No Data
Romania,Europe,2026-07-19,3604081.0,69095.0,188037.94,3604.936,19166776.0,83.3048324584961,42.39099884033203,75.26139831542969,40845.984375,7.5,7.230000019073486,,,1.9171322731092892,No Data
Russia,Europe,2026-07-19,24901467.0,404290.0,171050.19,2777.1006,145579889.0,8.889359474182129,39.07099914550781,72.51740264892578,42357.98828125,5.900000095367432,6.809999942779541,,,1.6235589654215954,No Data
Rwanda,Africa,2026-07-19,133274.0,1468.0,9762.93,107.53771,13651025.0,553.3451538085938,19.21999931335449,67.52799987792969,3558.679931640625,2.0999999046325684,0.75,,,1.1014901631225895,No Data
Saint Barthelemy,North America,2026-07-19,5507.0,5.0,503014.25,456.7044,10948.0,,38.70700073242188,84.28050231933594,,,,,,0.09079353550027239,No Data
Saint Helena,Africa,2026-07-19,2166.0,0.0,403427.1,0.0,5369.0,13.766666412353516,50.2140007019043,76.73519897460938,,,,,,0.0,No Data
Saint Kitts and Nevis,North America,2026-07-19,6607.0,46.0,141380.64,984.33624,46732.0,179.73846435546875,34.97100067138672,70.31310272216797,31427.662109375,13.800000190734863,3.9800000190734863,,,0.6962312698652944,No Data
Saint Lucia,North America,2026-07-19,30254.0,410.0,169211.5,2293.1418,178794.0,293.1049194335937,33.316001892089844,72.6698989868164,24502.962890625,11.399999618530272,1.090000033378601,,,1.3551927017914986,No Data
Saint Martin (French part),North America,2026-07-19,12324.0,46.0,426450.75,1591.7506,28899.0,577.97998046875,38.400001525878906,80.2354965209961,,,,,,0.3732554365465758,No Data
Saint Pierre and Miquelon,North America,2026-07-19,3426.0,2.0,594791.7,347.22223,5760.0,25.04347801208496,45.98899841308594,76.69869995117188,,,,,,0.05837711617046118,No Data
