date,reproduction_rate
2020-08-02,1.0129462427745666
2020-08-03,1.012583908045977
2020-08-04,1.0114477011494252
2020-08-05,1.0113505747126437
2020-08-06,1.009917816091954
2020-08-07,1.0133154285714285
2020-08-08,1.0119874285714285
2020-08-09,1.0118771428571427
2020-08-10,1.0124234285714286
2020-08-11,1.0117171428571428
2020-08-12,1.0118942857142856
2020-08-13,1.0135685714285716
2020-08-14,1.014484
2020-08-15,1.0125114285714287
2020-08-16,1.007010857142857
2020-08-17,1.0014017142857141
2020-08-18,0.9980840000000001
2020-08-19,0.9944640000000001
2020-08-20,0.9911542857142857
2020-08-21,0.9873314285714285
2020-08-22,0.9800539772727273
2020-08-23,0.9764017045454545
2020-08-24,0.9731500000000001
2020-08-25,0.9698039772727273
2020-08-26,0.968
2020-08-27,0.9660698863636363
2020-08-28,0.965328409090909
2020-08-29,0.9659897727272727
2020-08-30,0.9679164772727272
2020-08-31,0.9697062499999999
2020-09-01,0.9708022727272727
2020-09-02,0.9719176136363636
2020-09-03,0.9741159090909091
2020-09-04,0.9765079545454545
2020-09-05,0.9803448863636363
2020-09-06,0.9848102272727274
2020-09-07,0.9900937499999999
2020-09-08,0.994621590909091
2020-09-09,0.9979295454545455
2020-09-10,1.0005681818181817
2020-09-11,1.0021329545454547
2020-09-12,1.0021397727272727
2020-09-13,1.0025869318181817
2020-09-14,1.0018272727272726
2020-09-15,1.0011142045454546
2020-09-16,1.0006602272727272
2020-09-17,0.9994528409090908
2020-09-18,0.9986147727272727
2020-09-19,0.9983846590909091
2020-09-20,0.9976721590909091
2020-09-21,0.9952670454545455
2020-09-22,0.992628409090909
2020-09-23,0.990147159090909
2020-09-24,0.9883863636363636
2020-09-25,0.9875971590909092
2020-09-26,0.9877227272727273
2020-09-27,0.9884437500000001
2020-09-28,0.9874033898305085
2020-09-29,0.991390395480226
2020-09-30,0.9955146892655367
2020-10-01,1.0010757062146893
2020-10-02,1.0082440677966102
2020-10-03,1.0147830508474576
2020-10-04,1.0217367231638417
2020-10-05,1.0283915254237288
2020-10-06,1.0340892655367233
2020-10-07,1.0383559322033897
2020-10-08,1.0422661016949153
2020-10-09,1.0458282485875707
2020-10-10,1.0492994350282485
2020-10-11,1.0520745762711865
2020-10-12,1.0545768361581922
2020-10-13,1.0574265536723164
2020-10-14,1.0620864406779662
2020-10-15,1.065345197740113
2020-10-16,1.0685994350282486
2020-10-17,1.0700920903954803
2020-10-18,1.0703864406779662
2020-10-19,1.0711536723163841
2020-10-20,1.0725768361581922
2020-10-21,1.0737920903954803
2020-10-22,1.0744152542372882
2020-10-23,1.0729853107344631
2020-10-24,1.0704457627118644
2020-10-25,1.0680903954802259
2020-10-26,1.0659485875706214
2020-10-27,1.0623497175141243
2020-10-28,1.0595423728813558
2020-10-29,1.0558542372881357
2020-10-30,1.0524807909604519
2020-10-31,1.050305649717514
2020-11-01,1.0502576271186441
2020-11-02,1.050610734463277
2020-11-03,1.0507491525423729
2020-11-04,1.0471960451977402
2020-11-05,1.042764606741573
2020-11-06,1.0378769662921348
2020-11-07,1.0345612359550562
2020-11-08,1.0310848314606742
2020-11-09,1.0280162921348315
2020-11-10,1.0251780898876404
2020-11-11,1.0236393258426966
2020-11-12,1.0212022471910112
2020-11-13,1.0201342696629214
2020-11-14,1.0184477528089888
2020-11-15,1.0162073033707864
2020-11-16,1.0141696629213484
2020-11-17,1.0125606741573034
2020-11-18,1.0116859550561796
2020-11-19,1.0119286516853934
2020-11-20,1.0138084269662921
2020-11-21,1.014829213483146
2020-11-22,1.014591011235955
2020-11-23,1.0132578651685393
2020-11-24,1.011941011235955
2020-11-25,1.0118629213483146
2020-11-26,1.0122859550561798
2020-11-27,1.010346629213483
2020-11-28,1.0072932584269663
2020-11-29,1.0050797752808989
2020-11-30,1.0028747191011236
2020-12-01,1.002015168539326
2020-12-02,1.0017185393258428
2020-12-03,1.0021095505617976
2020-12-04,1.003035393258427
2020-12-05,1.0046067415730338
2020-12-06,1.0053803370786516
2020-12-07,1.0055988764044943
2020-12-08,1.0042016853932583
2020-12-09,1.0041505617977529
2020-12-10,1.0041162921348314
2020-12-11,1.0046365168539326
2020-12-12,1.0045966292134831
2020-12-13,1.0030775280898876
2020-12-14,1.0028337078651686
2020-12-15,1.0032516853932585
2020-12-16,1.0030359550561798
2020-12-17,1.0019016759776536
2020-12-18,1.0017748603351955
2020-12-19,1.000426815642458
2020-12-20,0.9972206703910614
2020-12-21,0.9895922222222222
2020-12-22,0.98517
2020-12-23,0.9805050000000001
2020-12-24,0.9771172222222222
2020-12-25,0.9740922222222222
2020-12-26,0.9732894444444445
2020-12-27,0.975648888888889
2020-12-28,0.9812983333333334
2020-12-29,0.9873305555555556
2020-12-30,0.9913227777777778
2020-12-31,0.9924055555555557
2021-01-01,0.9909966666666666
2021-01-02,0.9921355555555554
2021-01-03,0.99924
2021-01-04,1.0060205555555555
2021-01-05,1.011335
2021-01-06,1.0142016666666667
2021-01-07,1.010053591160221
2021-01-08,1.0089027624309392
2021-01-09,1.006399447513812
2021-01-10,1.000031491712707
2021-01-11,0.9924613259668509
2021-01-12,0.9850430939226519
2021-01-13,0.9780292817679558
2021-01-14,0.9725939226519337
2021-01-15,0.9669729281767956
2021-01-16,0.9610629834254144
2021-01-17,0.9550972375690608
2021-01-18,0.9489790055248618
2021-01-19,0.9434375690607735
2021-01-20,0.939178453038674
2021-01-21,0.9366016574585635
2021-01-22,0.9354248618784531
2021-01-23,0.9346685082872929
2021-01-24,0.9348408839779005
2021-01-25,0.9343243093922652
2021-01-26,0.9337646408839779
2021-01-27,0.9324110497237569
2021-01-28,0.9302016574585635
2021-01-29,0.928813812154696
2021-01-30,0.9282475138121546
2021-01-31,0.9257237569060774
